karachi	kɚɹˈɑːɹtʃi
beijing	beɪdʒˈɪŋ
shenzhen	ʃˈɛnʒən
guangzhou	ɡwˈɑːŋʒuː
lagos	lˈeɪɡɑːs
istanbul	ˌɪstˌænbˈʊl
bangalore	bˌæŋɡɐlˈɔːɹ
tokyo	tˈoʊkɪˌoʊ
chengdu	tʃˈɛŋɡduː
mumbai	mʊmbˈaɪ
lahore	lɐhˈɔːɹ
são paulo	sˈaʊ
paulo	pˈɔːloʊ
tianjin	tjˈændʒɪn
jakarta	dʒɐkˈɑːɹɾə
wuhan	wˈuːhæn
dhaka	dˈɑːkə
hyderabad	hˈaɪdɚɹɐbˌɑːd
chennai	tʃˈɛnaɪ
dongguan	dˈɑːŋɡjuːən
seoul	sˈoʊl
chongqing	tʃˈɑːŋkɪŋ
xi’an	zˈɪən
hangzhou	hˈæŋʒuː
luanda	luːˈændə
foshan	fˈɑːʃən
tehran	tɛɹˈɑːn
london	lˈʌndən
bangkok	bˈæŋkɑːk
ahmedabad	ˈɑːmɪdɐbˌɑːd
bogotá	bˌoʊɡətˈɑː
nanjing	nˈændʒɪŋ
kong	kˈɑːŋ
shenyang	ʃɛnjˈɑːŋ
minh	mˈɪn
riyadh	ɹˈɪjæd
baghdad	bæɡdˈæd
zhengzhou	ʒˈɛŋʒuː
janeiro	ʒɐnˈɛɹoʊ
qingdao	kˈɪŋdaʊ
kolkata	kɑːlkˈɑːɾə
suzhou	sˈʌʒuː
changsha	tʃˈæŋʃə
petersburg	pˈiːɾɚzbˌɜːɡ
jinan	dʒˈɪnən
kunming	kˈʌnəmɪŋ
alexandria	ˌælɪɡzˈændɹiə
harbin	hˈɑːɹbɪn
santiago	sˌæntɪˈɑːɡoʊ
ankara	ˈæŋkɑːɹɹə
shijiazhuang	ʃˈɪdʒɪˌæʒwɑːŋ
hefei	hˈɛfeɪ
melbourne	mˈɛlbɚn
dalian	dˈeɪliən
johannesburg	dʒoʊhˈænzbɜːɡ
nairobi	naɪɹˈoʊbi
yangon	jˈɑːŋɑːn
kano	kˈɑːnoʊ
xiamen	zˈaɪəmˌɛn
nanning	nˈænɪŋ
kabul	kˈæbʌl
giza	ɡˈiːzə
taiyuan	tˈeɪjuːən
ethekwini	ˈiː ðəkwˈɪni
ethekwini (durban)	(dˈɜːbən)
bamako	bæmˈɑːkoʊ
jaipur	dʒˈaɪpʊɹ
ekurhuleni	ˈɛkərhˌuːlɛni
tshwane	tˌiːˌɛsˈeɪtʃwˈeɪn
tshwane (pretoria)	(pɹɪtˈɔːɹiə)
taipei	tˌaɪpˈeɪ
guiyang	ɡɪjˈɑːŋ
wuxi	wˈʌksi,wˈuː zˈaɪ
pune	pˈuːnə
shantou	ʃˈæntuː
ibadan	ˈaɪbædən
ürümqi	ˈuːɹuːmki
los	lˌɑːs
angeles	ˈændʒəlɪs
zhongshan	ʒˈɑːŋʃən
abuja	ɐbjˈuːdʒə
yokohama	jˌɑːkoʊhˈɑːmə
ningbo	nˈɪŋboʊ
fuzhou	fˈʌʒuː
faisalabad	fˈaɪsəlɐbˌɑːd
